SERIAL,SHOT,DUT,XPOS,YPOS,BIN,FAILTNO,MEAN_SHIFT_01_L1,MEAN_SHIFT_01_L2,MEAN_SHIFT_01_L3,MEAN_SHIFT_02_L1,MEAN_SHIFT_02_L2,MEAN_SHIFT_02_L3,MEAN_SHIFT_03_L1,MEAN_SHIFT_03_L2,MEAN_SHIFT_03_L3,MEAN_SHIFT_04_L1,MEAN_SHIFT_04_L2,MEAN_SHIFT_04_L3,MEAN_SHIFT_05_L1,MEAN_SHIFT_05_L2,MEAN_SHIFT_05_L3,MEAN_SHIFT_06_L1,MEAN_SHIFT_06_L2,MEAN_SHIFT_06_L3,MEAN_SHIFT_07_L1,MEAN_SHIFT_07_L2,MEAN_SHIFT_07_L3,MEAN_SHIFT_08_L1,MEAN_SHIFT_08_L2,MEAN_SHIFT_08_L3,MEAN_SHIFT_09_L1,MEAN_SHIFT_09_L2,MEAN_SHIFT_09_L3,MEAN_SHIFT_10_L1,MEAN_SHIFT_10_L2,MEAN_SHIFT_10_L3,SIGMA_UP_01_L1,SIGMA_UP_01_L2,SIGMA_UP_01_L3,SIGMA_UP_02_L1,SIGMA_UP_02_L2,SIGMA_UP_02_L3,SIGMA_UP_03_L1,SIGMA_UP_03_L2,SIGMA_UP_03_L3,SIGMA_UP_04_L1,SIGMA_UP_04_L2,SIGMA_UP_04_L3,SIGMA_UP_05_L1,SIGMA_UP_05_L2,SIGMA_UP_05_L3,SIGMA_UP_06_L1,SIGMA_UP_06_L2,SIGMA_UP_06_L3,SIGMA_UP_07_L1,SIGMA_UP_07_L2,SIGMA_UP_07_L3,SIGMA_UP_08_L1,SIGMA_UP_08_L2,SIGMA_UP_08_L3,SIGMA_UP_09_L1,SIGMA_UP_09_L2,SIGMA_UP_09_L3,SIGMA_UP_10_L1,SIGMA_UP_10_L2,SIGMA_UP_10_L3,SIGMA_DOWN_01_L1,SIGMA_DOWN_01_L2,SIGMA_DOWN_01_L3,SIGMA_DOWN_02_L1,SIGMA_DOWN_02_L2,SIGMA_DOWN_02_L3,SIGMA_DOWN_03_L1,SIGMA_DOWN_03_L2,SIGMA_DOWN_03_L3,SIGMA_DOWN_04_L1,SIGMA_DOWN_04_L2,SIGMA_DOWN_04_L3,SIGMA_DOWN_05_L1,SIGMA_DOWN_05_L2,SIGMA_DOWN_05_L3,SIGMA_DOWN_06_L1,SIGMA_DOWN_06_L2,SIGMA_DOWN_06_L3,SIGMA_DOWN_07_L1,SIGMA_DOWN_07_L2,SIGMA_DOWN_07_L3,SIGMA_DOWN_08_L1,SIGMA_DOWN_08_L2,SIGMA_DOWN_08_L3,TAIL_01_L1,TAIL_01_L2,TAIL_01_L3,TAIL_02_L1,TAIL_02_L2,TAIL_02_L3,TAIL_03_L1,TAIL_03_L2,TAIL_03_L3,TAIL_04_L1,TAIL_04_L2,TAIL_04_L3,TAIL_05_L1,TAIL_05_L2,TAIL_05_L3,TAIL_06_L1,TAIL_06_L2,TAIL_06_L3,TAIL_07_L1,TAIL_07_L2,TAIL_07_L3,TAIL_08_L1,TAIL_08_L2,TAIL_08_L3,BIMODAL_01_L1,BIMODAL_01_L2,BIMODAL_01_L3,BIMODAL_02_L1,BIMODAL_02_L2,BIMODAL_02_L3,BIMODAL_03_L1,BIMODAL_03_L2,BIMODAL_03_L3,BIMODAL_04_L1,BIMODAL_04_L2,BIMODAL_04_L3,BIMODAL_05_L1,BIMODAL_05_L2,BIMODAL_05_L3,BIMODAL_06_L1,BIMODAL_06_L2,BIMODAL_06_L3,BIMODAL_07_L1,BIMODAL_07_L2,BIMODAL_07_L3,BIMODAL_08_L1,BIMODAL_08_L2,BIMODAL_08_L3,LOW_CPK_01_L1,LOW_CPK_01_L2,LOW_CPK_01_L3,LOW_CPK_02_L1,LOW_CPK_02_L2,LOW_CPK_02_L3,LOW_CPK_03_L1,LOW_CPK_03_L2,LOW_CPK_03_L3,LOW_CPK_04_L1,LOW_CPK_04_L2,LOW_CPK_04_L3,LOW_CPK_05_L1,LOW_CPK_05_L2,LOW_CPK_05_L3,LOW_CPK_06_L1,LOW_CPK_06_L2,LOW_CPK_06_L3,CONTROL_01,CONTROL_02,CONTROL_03,CONTROL_04,CONTROL_05,CONTROL_06,CONTROL_07,CONTROL_08,CONTROL_09,CONTROL_10,CONTROL_11,CONTROL_12,CONTROL_13,CONTROL_14,CONTROL_15,CONTROL_16,CONTROL_17,CONTROL_18,CONTROL_19,CONTROL_20,CONTROL_21,CONTROL_22,CONTROL_23,CONTROL_24,CONTROL_25,CONTROL_26,CONTROL_27,CONTROL_28,CONTROL_29,CONTROL_30,CONTROL_31,CONTROL_32,CONTROL_33,CONTROL_34,CONTROL_35,CONTROL_36,CONTROL_37,ADDED_ITEM_01,ADDED_ITEM_02,ADDED_ITEM_03,ADDED_ITEM_04,ADDED_ITEM_05,LIMIT_CHG_HI,LIMIT_CHG_LO,LIMIT_CHG_BOTH
C000387,97,4,7,15,1,,6.047106,6.071230,7.646353,4.438878,4.330684,8.101076,5.403073,4.916571,6.495382,5.182914,8.145465,6.433572,5.498517,8.747478,5.300891,4.719737,5.019590,8.324327,6.383123,6.818652,7.471147,4.896268,7.372976,7.129469,4.370307,6.343098,6.392811,3.623641,6.555019,9.123238,3.028864,2.336106,2.826060,4.792041,6.629700,8.206916,6.488488,5.794322,3.692506,3.125034,4.987669,5.346024,4.812054,5.748461,7.471820,3.591773,5.601299,7.108687,4.259490,6.112218,6.845201,2.785851,5.579962,5.809940,4.246249,4.489255,3.772485,5.322538,4.894122,4.247714,5.358967,5.199028,5.420449,3.979285,6.208405,4.612551,2.791939,6.289986,5.408469,6.091229,5.153966,4.389949,4.744824,6.167180,5.254532,5.335260,4.973321,5.111148,4.102914,4.381411,5.094692,3.229241,5.792415,4.389195,7.577120,4.424614,6.597698,3.498589,6.630575,3.300038,5.548310,4.697536,5.029570,4.189114,3.106628,1.761893,4.678848,4.191571,3.890085,5.840790,5.684805,3.508195,6.806694,4.449749,7.120697,6.113986,6.352669,4.321782,3.576625,4.527687,3.351992,4.892437,4.306623,4.741361,4.179565,4.016715,2.769599,3.390671,4.216532,2.359983,3.840528,3.377509,3.841777,4.842943,3.144022,3.833077,3.973435,4.422159,3.863715,3.714508,4.300965,3.797811,5.579798,5.928262,4.959259,4.518519,6.962941,1.762251,5.289546,6.571425,3.693209,5.365624,6.100434,2.699979,5.352201,2.666347,3.885829,2.606364,5.282077,8.451760,5.222739,4.051381,5.169964,5.966052,4.393260,5.436019,4.047115,6.665061,5.150463,3.936429,5.326036,5.946891,5.524312,3.672375,4.867408,7.659379,5.357088,5.182485,4.617057,4.078769,5.569844,3.554142,4.782433,5.310776,5.525284,6.260904,5.713604,6.026353,3.754447,3.875053,5.575515,5.627975,4.154239,3.945340,4.551807,4.263320,6.519451,4.324728,6.128547,3.378054,4.976300,6.818377,4.847468,5.226843,4.983538
C000388,98,1,8,15,1,,4.271209,5.187242,7.130637,6.648913,4.985776,6.552070,5.019429,7.152506,6.301177,5.523241,6.749733,8.111531,4.480138,8.115095,6.740069,4.591024,3.958895,8.456579,6.188706,4.379642,7.662024,5.597611,5.738991,7.379273,5.523859,5.297992,5.805935,5.395449,6.596554,8.217200,4.861984,4.264861,3.697227,5.824228,8.293627,5.894086,5.074360,4.637972,3.963870,4.535033,7.767013,3.533266,3.485875,5.298148,3.565014,5.034311,5.024341,5.236777,6.502796,4.114887,4.061570,4.675175,6.298418,5.330944,4.621319,5.229752,6.717398,6.555193,4.553919,7.959576,3.988193,4.034080,5.252666,4.850856,6.665046,5.062948,5.092487,5.997062,5.446931,4.521521,4.645242,5.216841,4.038878,4.169050,4.066493,4.602007,5.572868,5.099795,4.449441,4.776128,5.542199,6.464984,4.308697,4.833613,4.755357,6.209353,4.594615,1.950572,4.493763,5.027625,4.426671,4.034490,5.063760,4.633936,6.634431,3.745780,5.528611,4.590699,3.490063,3.718603,5.874338,3.046790,7.572203,4.957200,4.806061,4.601135,5.272308,5.601206,4.050865,4.086239,3.406257,4.059509,4.065671,2.844808,3.944641,2.894851,4.036591,4.511601,3.764273,2.783378,4.589054,3.862801,3.864769,3.321677,3.489651,5.348683,4.350456,4.476642,2.738007,4.400222,4.097786,3.027032,2.522863,6.147892,5.475271,6.165507,5.557104,4.587975,5.337727,5.012536,0.802660,4.443554,3.828775,8.958052,5.217260,7.541973,4.344522,5.548898,6.246910,4.751065,5.056759,2.832698,6.130851,6.171389,7.085736,4.528521,4.677870,6.674763,5.154753,3.794556,5.777828,5.405658,4.600947,3.625987,4.911942,5.788060,3.985725,5.264141,5.794616,6.571188,3.759091,4.573522,5.734148,4.950488,4.955166,4.697724,4.857364,3.962472,6.209778,3.671515,7.193510,3.904751,3.915836,4.865567,7.118411,5.129597,2.650103,1.793967,4.042894,3.843680,4.977505,5.375586,5.705137,3.886348,4.568809
C000389,98,2,9,15,1,,3.792757,6.624382,9.193555,6.793833,5.953485,5.849048,7.144219,6.961495,7.523712,5.952263,5.802647,6.605394,6.082219,8.209363,7.114873,4.592321,6.111046,9.064283,5.003661,5.201133,8.573863,7.096271,3.481762,7.848078,6.152315,5.505335,7.553623,6.078418,6.521084,5.895752,4.229810,5.799322,5.408557,3.812108,5.016111,6.350445,3.062847,6.919687,4.191301,4.480061,5.201091,5.457031,4.712377,3.718352,5.561352,3.833126,6.892196,0.504008,3.348964,5.235916,5.348846,3.726735,6.431194,1.112582,4.327989,5.424171,6.043960,3.551220,5.353511,7.008060,4.813587,5.450091,5.276856,5.377901,4.426171,4.885865,4.717889,4.490871,5.399480,4.973526,4.128317,3.071401,6.156648,4.539654,5.807474,5.748267,4.309055,5.452584,7.254256,4.177398,5.323699,3.447525,5.078585,4.998680,3.493994,7.133753,3.837906,5.221578,4.360692,5.503625,4.383937,7.067648,5.079164,4.088824,4.688505,4.523151,4.556256,3.469492,3.858365,6.272128,6.315739,3.931469,8.079618,8.282487,4.221530,5.965563,4.103263,4.246482,3.972397,3.794728,4.112427,4.996634,4.190267,2.451716,4.056543,3.376834,4.111160,3.242906,4.500069,3.819487,3.750587,3.217475,2.405184,4.450309,4.504044,4.101782,3.654730,3.805190,3.989851,4.513382,2.315830,3.242253,2.367873,4.457766,0.965494,3.843247,5.630578,6.114057,5.909248,6.765238,3.920206,6.662833,6.161211,6.158247,5.071086,4.740574,9.990000,3.242474,5.333131,6.492283,5.261304,5.741041,4.763171,4.753786,3.958609,4.178377,3.130815,5.419565,5.365439,6.080085,3.537398,2.736474,6.245717,3.862497,4.915118,5.011483,6.199390,5.700914,6.025970,3.918757,4.537293,5.490103,3.868087,4.529594,6.420337,5.136351,5.168560,6.056878,5.106223,6.321362,3.052867,5.343667,5.033754,3.946106,5.947452,3.749541,4.465301,7.281496,4.389506,4.463472,4.911273,3.897707,5.583167,4.086008,4.499276
C000390,98,3,10,15,1,,4.799801,6.182951,8.530959,5.984016,6.909347,8.485625,4.929809,9.135823,7.280948,5.530883,4.851280,7.198533,3.653414,4.708806,8.209069,8.099690,5.542417,6.646863,5.002882,4.643628,6.998210,6.347650,5.190635,5.557086,5.774863,6.853702,7.699065,6.929489,5.123045,7.797861,4.712040,4.619334,6.926141,3.601411,3.291806,6.109529,4.704157,5.576294,4.595655,5.704832,4.103963,5.246652,6.299439,3.684395,4.876561,5.223806,4.335354,4.391321,4.866442,5.617152,3.574552,2.821627,4.426014,5.275902,5.060634,4.197812,5.163736,5.228708,8.700337,8.220530,4.806815,5.220578,4.393882,5.824676,4.094737,5.634010,4.204709,4.445174,4.544704,4.758424,3.621247,5.043071,4.775615,4.325085,5.093901,4.171741,4.909900,5.026518,5.135555,4.837082,5.321737,7.059250,4.475579,6.107454,5.128309,4.043620,5.599946,5.766452,3.676169,4.980742,4.383989,3.584949,3.650998,4.654125,8.286299,5.248437,6.401931,3.872459,4.727411,3.913633,3.926383,4.225260,4.695335,5.498946,2.307565,4.744952,3.935844,4.694317,4.640513,3.876437,3.985726,4.178454,4.474978,3.706027,4.245657,4.120446,3.505018,4.705472,4.447835,3.900020,3.948822,4.389066,4.688992,3.667895,4.028865,4.220666,4.210358,4.498349,3.239172,4.249817,4.209333,4.271932,4.950206,4.012625,3.768001,5.154551,7.070206,5.195205,3.096037,4.574580,2.354649,5.740779,3.423193,8.794163,6.055529,4.270820,6.410757,6.594072,3.660160,3.871427,4.388553,4.632324,6.391959,4.167320,3.890697,5.220033,5.155269,4.491167,4.532217,3.951882,4.213646,4.449636,4.323936,4.732528,5.425973,4.355726,4.713711,4.980217,5.677871,3.741808,5.959198,6.436770,4.768403,4.698445,5.398241,3.228002,4.418138,3.950315,2.553535,4.715426,3.916758,2.638392,5.532336,6.583304,4.161637,4.483471,4.499460,3.973820,5.667891,5.380562,5.153750,5.983842,3.715066,3.168000,4.260035
C000391,98,4,11,15,1,,5.669401,6.002991,8.154207,5.804340,5.494479,7.575676,5.932270,4.992970,6.843753,5.909412,6.991526,7.340433,6.292599,6.636318,9.129540,7.159259,5.363085,7.289929,7.766849,6.015833,8.033989,6.161940,4.967905,6.043349,5.996061,7.302885,7.113875,4.187393,6.121898,8.372456,4.678601,3.595539,3.929050,5.915638,2.023628,4.753488,5.238414,7.254000,3.735807,4.228104,4.731175,2.192651,5.027837,4.632195,3.790339,2.983607,6.161525,5.210263,4.676769,2.071453,6.716947,4.692599,4.881747,5.057920,4.294371,6.250498,6.011620,2.863992,4.943496,5.458372,4.348083,3.583867,4.882391,3.000918,6.170863,4.231043,5.320612,3.928957,4.112841,5.539616,6.008921,5.301905,5.419420,3.919606,5.402115,2.635688,5.803198,5.191639,5.143827,3.987785,4.536511,5.247833,5.457809,4.844456,4.999010,4.547902,3.336159,4.891585,5.367942,5.587682,5.439743,5.537590,4.623775,4.148945,2.845692,9.208872,6.165544,5.932401,4.417596,4.325064,4.965245,7.925238,6.085610,7.785479,6.449147,5.073421,3.831549,6.795156,3.915780,4.686366,3.434100,3.417688,3.882154,3.661672,3.547732,3.206264,4.072640,4.634148,3.387078,4.234214,3.836904,4.059184,4.446721,3.474410,4.863322,3.567494,3.150798,3.903819,2.994215,3.852301,4.304376,2.857644,5.950505,4.893110,7.483153,3.121532,4.310130,3.861228,4.712502,5.364627,5.380921,3.560887,4.899029,3.493820,4.345347,1.348528,5.460001,5.391341,6.979216,5.351556,7.585674,7.541104,5.737330,6.042083,5.759836,4.488939,7.175251,5.233408,5.013613,7.486234,4.648456,4.022674,5.646708,4.886049,6.627140,5.913383,5.670619,5.108597,5.662451,3.468964,7.023892,5.382968,2.710405,4.470879,5.310104,4.283897,6.563749,4.799423,5.434130,6.300493,4.414831,6.778533,5.348269,5.097022,5.402183,3.569206,6.019979,6.159604,6.140598,5.558590,3.261917,4.229749,5.041504,5.582694,5.907170
C000392,99,1,12,15,1,,5.269735,7.286328,6.101507,4.708143,4.518883,7.114790,4.042958,5.464040,8.948213,6.546660,6.838308,6.510587,5.754380,6.792244,7.079170,4.688266,7.790712,6.879216,5.230930,6.284013,5.088545,4.240840,6.330353,8.869071,3.541269,5.992020,8.219074,4.234556,6.656345,6.823049,5.040001,4.885055,4.903142,5.875729,3.893399,5.806128,4.851202,5.217474,4.696542,4.017386,4.536325,4.650458,5.238843,2.433105,1.606860,6.543874,3.136447,2.387144,5.667967,5.660917,3.699582,5.450426,3.756209,4.635517,5.524163,3.426746,5.575745,5.573667,6.193050,6.069634,4.143580,5.823131,5.596362,5.727190,4.256362,4.855801,5.125511,4.085392,4.259155,5.418250,3.798061,4.980682,4.906307,4.980178,4.602463,4.613928,4.967407,4.108303,5.523692,4.822178,4.638442,5.085501,5.042537,3.929195,5.213543,4.486929,4.304560,6.307277,5.066197,4.478361,6.718688,5.691001,4.263900,6.020665,3.935580,5.937195,5.037280,4.372371,3.384585,3.953497,4.726344,4.141485,5.728680,5.832161,4.577786,6.180757,4.649020,2.739010,2.843663,3.862014,3.997548,4.120264,2.153327,3.439451,4.223969,3.949503,3.206727,3.825404,3.650133,4.108566,2.949178,4.580467,2.674108,3.831270,2.689749,2.877871,4.363831,4.108125,3.233557,4.012386,3.576303,2.978781,2.783979,5.021573,6.321941,5.498219,4.656991,4.650788,3.766887,7.155525,2.256090,5.903574,6.509495,4.681424,3.375991,3.905636,6.737884,5.267895,5.715000,5.249416,4.135328,4.040385,4.690140,3.933437,4.766400,3.428460,6.105288,5.338394,6.347598,6.979130,4.798000,4.692118,4.528290,5.619440,6.007528,5.032451,2.345525,6.762044,6.387888,5.528928,5.820200,3.706237,4.036554,5.214497,5.807936,7.319956,3.764306,4.162187,3.907008,3.712502,3.866870,5.493610,5.495331,4.213623,4.334002,4.877809,7.402187,3.776684,4.293967,4.726323,4.593157,4.107686,5.513797,5.909044,6.414196
C000393,99,2,13,15,1,,6.765881,5.794304,8.817701,5.003284,4.291094,7.940437,5.878711,5.821488,8.036437,6.022374,7.286856,7.384044,5.182839,6.437872,7.742269,5.464358,6.987517,6.584139,6.610690,5.714337,7.491861,4.806196,7.189926,8.106698,7.025492,6.712717,8.394158,4.646445,5.788371,5.268758,5.752305,3.814309,2.446037,3.353342,2.595039,7.732459,6.833307,3.460160,5.444529,3.610164,7.063600,5.752548,4.713620,4.356843,6.123156,4.960346,3.671453,5.699270,5.719300,2.850058,5.813501,5.475207,4.540916,2.732115,6.550026,6.256763,3.166758,5.310546,3.337469,3.815041,6.236872,3.788421,5.613398,4.022848,4.097950,5.471903,4.194074,4.786264,4.099455,3.364533,5.582050,4.922814,5.361672,5.728208,4.680336,3.589770,5.265054,4.101801,3.989022,4.717525,5.682476,6.498108,2.871878,4.480850,3.512824,4.595368,4.274309,5.104557,5.026360,4.351288,4.452343,6.301865,4.540162,4.943391,4.685763,4.496628,4.120486,5.444021,2.827742,4.970254,3.870570,1.808134,2.988974,5.619283,5.586251,4.978923,5.986581,7.235400,4.524079,3.702654,2.877292,4.060663,3.485150,3.973143,4.055555,3.828946,3.196128,4.115431,3.793553,4.079074,5.126805,4.044340,2.873468,4.078239,3.770695,4.154570,3.568568,3.896322,3.252051,3.794918,4.210020,2.480386,2.645957,5.586746,6.348306,6.156197,4.903791,3.197650,3.560904,3.491679,5.644178,4.936392,5.501950,4.026410,5.039887,6.147074,2.665585,7.106413,4.372996,2.984817,5.056656,3.352942,3.982296,5.072970,5.450674,7.206498,2.735313,2.888295,5.398487,4.238273,5.617766,4.937971,5.272195,5.588121,4.450876,5.043160,4.788605,4.921748,6.314406,6.372069,5.421162,3.634406,4.904312,6.015628,4.087571,4.703288,5.641384,5.976567,4.245120,4.920681,4.349256,4.682424,2.727789,5.490812,4.463378,5.443357,4.453735,6.030018,5.417368,5.612240,5.161920,5.571456,4.477280,5.199159,3.081759
C000394,99,3,14,15,1,,5.052230,3.967664,7.005189,4.192690,4.383265,5.672809,5.478297,7.412246,6.591500,5.937929,5.690601,8.975858,5.097570,6.737100,5.502309,6.391604,7.568731,6.322755,4.446522,7.513976,8.533573,4.390837,6.112799,6.993528,4.657263,5.747243,8.084769,5.161019,5.671663,7.596923,5.442296,2.807478,1.705284,6.310662,3.384537,4.185704,5.876349,3.344415,6.474111,5.727421,4.974168,6.429556,4.976704,4.439159,5.242133,5.692352,7.222757,7.395201,4.952057,3.303240,5.363846,4.171099,4.275135,6.027135,4.237983,2.365896,4.120119,4.673239,7.352400,3.571636,5.645996,5.348486,5.874431,6.896048,4.579919,4.030603,4.729596,4.705969,5.124832,3.954208,4.644457,5.756497,5.333170,5.864574,4.869877,3.710089,5.349887,5.532938,5.433889,4.217089,4.718072,4.967679,5.301280,4.431711,4.839877,4.573167,7.538662,4.611025,3.964749,2.492019,4.348379,6.057308,4.425444,4.122825,8.418428,5.057544,4.835307,3.935866,3.400527,6.053196,2.985810,3.603660,5.786578,5.882079,5.137887,6.012989,4.764157,9.501321,3.603316,3.635859,3.880237,3.951851,3.947736,3.341907,4.185558,4.437946,4.539476,3.594989,5.046925,4.620124,3.183284,3.663106,3.035598,3.683911,2.647630,4.829345,3.720847,3.923399,4.702691,3.511729,4.286163,3.599082,6.277274,5.937277,5.216643,3.682587,5.723836,7.576268,6.153563,6.386854,5.423560,4.104740,6.373312,3.995845,4.929228,6.947182,4.480786,3.092334,6.430787,6.538966,5.924835,5.241909,4.067244,4.395447,4.545275,6.830092,4.203793,3.871847,5.172710,6.608090,7.536035,3.695529,3.407060,4.265714,4.994677,5.282604,6.782857,3.919507,4.143682,5.178296,2.767566,3.204614,4.709425,4.415246,2.879518,3.971007,5.196876,5.205819,5.279474,4.432149,4.544102,5.551227,3.823479,5.585226,6.186282,6.427019,4.031933,5.714474,5.782933,4.253068,5.373537,5.009210,5.266967,5.123780,4.822536
C000395,99,4,15,15,1,,6.000347,4.536785,7.731803,4.718013,4.599190,7.381486,4.836496,6.073289,7.925700,3.798835,6.105634,6.483353,4.763123,6.394682,7.833866,4.701567,4.408005,7.643910,4.143812,8.238444,7.070144,5.599722,4.771250,7.195361,4.989653,5.588813,6.566654,6.842465,6.538405,7.531929,5.001713,5.907151,2.212878,8.431657,4.637323,6.171675,2.685506,6.669935,6.214583,6.551735,4.850088,7.796954,4.658794,5.660087,5.498952,7.467193,3.689953,9.332531,4.488256,5.182290,5.064895,6.338933,4.865930,5.366210,3.506308,7.320211,3.440778,4.774459,3.766977,4.617323,4.841226,3.884671,6.374057,5.950130,5.258146,4.301695,4.197641,5.624887,4.799080,5.508413,6.051101,4.938387,5.081900,5.972582,3.843141,5.809530,5.646740,4.173530,5.713986,5.540124,4.617153,4.296940,5.487328,5.071030,4.239177,4.328985,8.139482,5.535440,4.589672,6.964065,4.418146,5.770316,2.333971,4.454894,6.096423,4.642371,4.168704,5.026315,5.600612,5.542855,4.278303,4.461142,3.583648,2.912640,3.549346,5.542578,3.875666,5.344399,4.783406,4.304174,3.190808,3.746851,3.975487,4.006528,4.314395,4.095941,3.197164,4.066945,3.672806,4.112146,4.270677,4.008157,3.750522,3.804202,3.563607,4.455728,4.091874,3.786043,3.940431,3.875985,3.268705,3.604493,3.928371,6.624067,5.705661,5.752969,6.194854,3.499805,4.654024,6.494268,6.973885,5.791617,7.402975,3.102743,4.642457,7.077012,9.418992,4.522034,4.893352,3.648251,5.176737,6.558322,5.144273,5.753980,6.764728,4.475570,3.613518,5.305262,2.929871,6.983859,4.454825,4.675592,3.621222,4.902705,3.226216,5.782012,5.219168,3.804005,5.099594,7.695785,3.653388,4.139899,3.750287,4.407802,5.012055,4.204681,5.851836,5.829028,6.188230,4.997996,5.991411,4.484293,4.276712,6.268091,5.413641,4.442564,5.259932,5.512663,5.213926,5.726577,3.882353,4.298351,6.419831,4.783664,4.196128
C000396,100,1,16,15,1,,3.402956,6.224908,7.256082,5.972581,6.623396,8.866908,6.132225,4.437665,7.821777,4.456983,5.213716,6.471815,5.536167,6.284775,5.265507,5.766566,5.910609,8.456015,5.125096,6.861832,6.732202,5.742025,5.256730,7.672550,5.530001,5.454190,9.096790,5.146306,6.682993,6.947180,4.575566,5.832058,4.374977,4.246404,5.557524,4.742731,5.626438,7.696307,5.411986,5.466756,6.387047,3.910320,4.089359,5.409513,4.066943,2.557995,7.249715,3.326968,7.021652,3.316789,3.527352,6.553837,5.621998,5.629728,5.737046,5.934483,5.500575,3.103146,5.242855,4.312763,3.051163,4.555647,5.882238,4.031762,4.244039,5.171931,4.965160,4.272676,5.047815,6.535762,6.363668,5.134172,3.882859,6.827924,5.407925,7.079715,5.912337,4.287790,3.418591,4.269382,5.054270,4.397593,4.165981,5.048956,3.799829,5.069866,5.624365,5.221133,1.909765,5.494689,5.005639,2.710200,5.404935,6.096226,5.666385,8.663751,3.799939,7.371285,5.288262,3.704759,4.294349,4.654773,3.890653,5.306615,5.421049,9.084930,3.951722,4.296452,4.269062,4.616812,3.614383,4.697098,3.949439,3.142655,3.248738,3.383644,4.116482,4.456085,3.831562,3.740119,4.262103,4.604009,3.424484,4.047637,4.256270,3.875980,3.143852,3.927831,3.898306,4.158627,4.486984,2.758878,6.284226,5.275374,5.860702,4.959128,5.600318,4.768959,5.634922,6.702826,3.407638,4.049629,2.447837,8.697276,4.179068,3.858575,2.338225,6.191783,4.221846,4.667947,6.213692,3.769283,7.789205,5.098402,3.332652,5.303547,5.570048,6.926269,3.972915,6.152964,4.618169,4.796386,5.802174,4.179935,5.586652,3.947263,3.310109,3.725349,6.306040,2.673572,4.149326,5.254561,6.186505,4.987727,5.552701,4.968540,2.950124,4.367398,4.351835,6.402244,5.025966,5.134015,5.853735,5.456567,5.480495,4.926912,3.908601,5.028279,4.232003,3.980604,5.146257,2.653534,6.429582,3.415145,4.354357
C000397,100,2,17,15,1,,5.177600,6.000364,5.415807,4.462972,6.225449,6.658073,3.436182,6.234265,6.509072,5.691732,6.124239,7.066481,7.365904,5.658002,5.638072,4.898228,4.422284,5.752862,7.420238,5.086628,7.065279,3.428321,5.137100,8.708552,4.353655,7.393403,5.876617,4.757723,6.292770,7.774126,5.371236,4.887542,7.054303,4.515947,5.378159,5.219733,5.591962,5.596171,5.139810,5.767493,5.818123,4.669216,3.860952,4.988166,4.564412,4.063456,4.230097,7.300482,4.984996,3.708988,6.176597,3.876551,3.440975,6.620838,5.062607,4.675672,4.122713,3.220590,4.372933,7.326374,5.025093,5.271024,5.235673,5.022887,3.477296,5.927225,4.014037,5.225847,4.300918,5.774380,4.569385,4.299442,4.262309,5.098005,5.659785,5.948538,3.563614,4.333847,5.713461,5.996097,5.501542,5.250738,4.980778,5.103545,5.911735,5.181352,6.318739,3.912130,6.890044,4.595413,3.800379,4.988259,5.518704,5.104177,3.436016,6.705970,6.415230,5.279561,3.396315,4.492494,6.242733,4.281029,4.207946,3.380017,3.969161,5.883654,7.115749,6.760913,3.880591,3.015332,3.545113,3.515461,4.430168,3.840449,3.066230,3.469036,4.143913,3.452478,4.155295,3.445142,4.098334,3.444700,2.640041,4.649207,3.634745,3.559888,4.062657,3.758383,3.867236,3.865828,4.182448,3.180019,5.599180,4.811174,5.546126,6.038298,4.722101,9.756120,5.655778,5.496712,3.801994,4.655966,5.563829,5.296730,4.572972,3.151479,4.957149,4.362181,5.314899,6.614213,4.912479,3.863485,4.997867,5.979005,5.432035,6.010825,3.430456,3.532856,5.883719,4.935349,5.772202,4.209700,6.368354,4.348470,5.342319,4.334864,5.148277,4.995019,4.854089,5.464408,5.193352,6.219202,6.724504,6.250117,5.436547,2.804523,4.605757,5.638002,7.096623,4.938401,3.513829,5.228081,5.148251,3.972970,6.349537,4.386805,6.311689,3.795265,3.840037,4.258516,3.438590,3.665779,3.652240,4.410232,5.102508
